lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Irish,1,plurality,True,2,RF,0.75,0.74,0.69,0.74,0.66,0.69,0.70,0.65,0.74,0.64,0.72,0.68,
Irish,1,plurality,True,3,NN,0.72,0.70,0.65,0.73,0.66,0.63,0.69,0.61,0.70,0.68,0.67,0.65,
Irish,1,plurality,True,1,DT,0.74,0.69,0.65,0.70,0.62,0.65,0.68,0.64,0.73,0.63,0.65,0.61,
Irish,1,plurality,False,2,RF,0.72,0.70,0.67,0.74,0.65,0.71,0.67,0.64,0.72,0.64,0.70,0.65,
Irish,1,plurality,False,3,NN,0.65,0.61,0.56,0.64,0.63,0.69,0.59,0.61,0.63,0.62,0.61,0.60,
Irish,1,plurality,False,1,DT,0.68,0.66,0.58,0.70,0.61,0.66,0.65,0.64,0.67,0.59,0.67,0.62,
Irish,2,gender,True,3,NN,0.75,0.74,0.70,0.72,0.74,0.72,0.79,0.78,0.71,0.72,0.76,0.75,
Irish,2,gender,False,2,RF,0.71,0.69,0.70,0.74,0.75,0.78,0.77,0.74,0.73,0.70,0.77,0.76,
Irish,2,gender,False,1,DT,0.70,0.69,0.66,0.67,0.76,0.69,0.73,0.76,0.70,0.65,0.73,0.71,
Irish,2,gender,False,3,NN,0.74,0.70,0.65,0.70,0.70,0.75,0.76,0.69,0.71,0.74,0.71,0.78,
Irish,2,gender,True,1,DT,0.76,0.68,0.64,0.63,0.72,0.73,0.80,0.79,0.79,0.75,0.71,0.71,
Irish,2,gender,True,2,RF,0.79,0.73,0.75,0.74,0.73,0.77,0.78,0.82,0.81,0.76,0.80,0.79,
Irish,3,case,True,1,DT,0.98,0.96,0.94,0.97,0.94,0.95,0.96,0.98,0.97,0.96,0.95,0.96,
Irish,3,case,True,3,NN,0.98,0.96,0.96,0.98,0.96,0.95,0.96,0.97,0.97,0.97,0.96,0.96,
Irish,3,case,False,2,RF,0.98,0.96,0.96,0.98,0.97,0.95,0.96,0.97,0.97,0.97,0.96,0.96,
Irish,3,case,True,2,RF,0.98,0.96,0.96,0.98,0.97,0.95,0.97,0.97,0.98,0.97,0.96,0.96,
Irish,3,case,False,1,DT,0.97,0.96,0.95,0.96,0.96,0.94,0.96,0.96,0.97,0.97,0.96,0.95,
Irish,3,case,False,3,NN,0.98,0.96,0.96,0.98,0.96,0.95,0.96,0.97,0.97,0.97,0.96,0.96,
